Customer Number,Shipper,Location,Effective Date,Label Type,Product,Weight,Zone,Cost,Rate Type
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,9,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,10,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,11,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,12,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,13,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,14,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,15,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,16,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,32,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,48,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,64,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,80,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,8,,R
