Custom Setup ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
Customer,Piccard Pet Supplies,,,Avg Weekly Volume,,,,,,,Product Mapping for Forge,,,,,,Rates,,,,,,,,,,,Best Rate using lowest Cost,,,,,,,,,,,,Forge to Forge Price Transfer,,,,,,,,,,,,,,,,,,,,
# of Darwin Accounts,,,,Priority,EXP Plus,Expedited,Ground,,,,Priority,EXP Plus,Expedited,Ground,,UID,Call type,Shipper Code,Weight ,Zone,FMD,Costs,Base,Mapping Rate,Active Rates,Carrier Status,,Call Type,Carrier,Weight ,Zone,Mapping ,Active,Volume,Active Costs,USPS,Tech Fee,UID,,Effective Date,Customer ID,Shipper,Location,Label Type,Product,Weight,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,M
,,,DHL-X,-,-,-,,,,,,,,,,ExpeditedDHL-X160&1,Expedited,DHL-X,160,1,0.11710887465690767,9.649999999999999,10.93,,,Yes,,Expedited,,160,1,,,0,,,,Expedited1601,,,,,,,,,,,,,,,,,,,,,,
,,,DHL-G,-,-,-,,,,,,,,,,ExpeditedDHL-X176&1,Expedited,DHL-X,176,1,0.11652173913043495,10.159999999999998,11.5,,,Yes,,Expedited,,176,1,,,0,,,,Expedited1761,,,,,,,,,,,,,,,,,,,,,,
,,,DHL-M,-,-,-,,,,,,,,,,ExpeditedDHL-X192&1,Expedited,DHL-X,192,1,0.11452282157676352,10.67,12.05,,,Yes,,Expedited,,192,1,,,0,,,,Expedited1921,,,,,,,,,,,,,,,,,,,,,,
,,,NGS,-,-,-,,,,,,,,,,ExpeditedDHL-X208&1,Expedited,DHL-X,208,1,0.11489698890649769,11.169999999999998,12.62,,,Yes,,Expedited,,208,1,,,0,,,,Expedited2081,,,,,,,,,,,,,,,,,,,,,,
,,,Ontrac,-,-,-,,,,,,,,,,ExpeditedDHL-X224&1,Expedited,DHL-X,224,1,0.11398176291793316,11.66,13.16,,,Yes,,Expedited,,224,1,,,0,,,,Expedited2241,,,,,,,,,,,,,,,,,,,,,,
,,,FM-X,-,-,-,,,,,,,,,,ExpeditedDHL-X240&1,Expedited,DHL-X,240,1,0.11231884057971031,12.249999999999998,13.8,,,Yes,,Expedited,,240,1,,,0,,,,Expedited2401,,,,,,,,,,,,,,,,,,,,,,
,,,FM-G,-,-,-,,,,,,,,,,ExpeditedDHL-X256&1,Expedited,DHL-X,256,1,0.11203319502074693,12.84,14.46,,,Yes,,Expedited,,256,1,,,0,,,,Expedited2561,,,,,,,,,,,,,,,,,,,,,,
,,,FM-P,-,-,-,,,,,,,,,,ExpeditedDHL-X272&1,Expedited,DHL-X,272,1,0.10994075049374585,13.52,15.19,,,Yes,,Expedited,,272,1,,,0,,,,Expedited2721,,,,,,,,,,,,,,,,,,,,,,
,,,FM DDU,-,-,-,,,,,,,,,,ExpeditedDHL-X288&1,Expedited,DHL-X,288,1,0.10984848484848486,14.1,15.84,,,Yes,,Expedited,,288,1,,,0,,,,Expedited2881,,,,,,,,,,,,,,,,,,,,,,
,,,OSM,-,-,-,,,,,,,,,,ExpeditedDHL-X304&1,Expedited,DHL-X,304,1,0.10841913991520302,14.719999999999999,16.51,,,Yes,,Expedited,,304,1,,,0,,,,Expedited3041,,,,,,,,,,,,,,,,,,,,,,
,,,USPS FC,-,-,-,,,,,,,,,,ExpeditedDHL-X320&1,Expedited,DHL-X,320,1,0.10909090909090913,15.19,17.05,,,Yes,,Expedited,,320,1,,,0,,,,Expedited3201,,,,,,,,,,,,,,,,,,,,,,
,,,USPS PM,-,-,-,,,,,,,,,,ExpeditedDHL-X336&1,Expedited,DHL-X,336,1,0.11104751001717228,15.53,17.47,,,Yes,,Expedited,,336,1,,,0,,,,Expedited3361,,,,,,,,,,,,,,,,,,,,,,
,,,USPS FC,,,,,,,,,,,,,ExpeditedDHL-X352&1,Expedited,DHL-X,352,1,0.11074197120708729,16.060000000000002,18.06,,,Yes,,Expedited,,352,1,,,0,,,,Expedited3521,,,,,,,,,,,,,,,,,,,,,,
,,,USPS PM,,,,,,,,,,,,,ExpeditedDHL-X368&1,Expedited,DHL-X,368,1,0.10908113917248774,16.580000000000002,18.61,,,Yes,,Expedited,,368,1,,,0,,,,Expedited3681,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X384&1,Expedited,DHL-X,384,1,0.12083973374295953,17.17,19.53,,,Yes,,Expedited,,384,1,,,0,,,,Expedited3841,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X400&1,Expedited,DHL-X,400,1,0.15781990521327005,17.770000000000003,21.1,,,Yes,,Expedited,,400,1,,,0,,,,Expedited4001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X1&3,Expedited,DHL-X,1,3,0.12629533678756488,3.3724999999999996,3.86,,,Yes,,Expedited,,1,3,,,0.0158317973087431,,,,Expedited13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X2&3,Expedited,DHL-X,2,3,0.12046632124352341,3.3949999999999996,3.86,,,Yes,,Expedited,,2,3,,,0,,,,Expedited23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X3&3,Expedited,DHL-X,3,3,0.11463730569948194,3.4174999999999995,3.86,,,Yes,,Expedited,,3,3,,,0,,,,Expedited33,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X4&3,Expedited,DHL-X,4,3,0.10103626943005195,3.4699999999999993,3.86,,,Yes,,Expedited,,4,3,,,0,,,,Expedited43,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X5&3,Expedited,DHL-X,5,3,0.15487238979118334,3.6424999999999996,4.31,,,Yes,,Expedited,,5,3,,,0,,,,Expedited53,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X6&3,Expedited,DHL-X,6,3,0.14733178654292345,3.675,4.31,,,Yes,,Expedited,,6,3,,,0,,,,Expedited63,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X7&3,Expedited,DHL-X,7,3,0.1421113689095127,3.6975,4.31,,,Yes,,Expedited,,7,3,,,0,,,,Expedited73,,,,,,,,,,,,,,,,,,,,,,
