CY Base,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,PY Base,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,YoY Change,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
Expedited1&176,Expedited,1,176,10.78,10.83,11.64,12.68,14.21,15.97,18.18,20.91,,Expedited1&176,Expedited,1,176,10.22,10.27,11.03,12.02,13.47,15.14,17.23,19.82,,0.05479452054794498,0.054527750730282376,0.055303717135086305,0.05490848585690511,0.05493689680772085,0.05482166446499348,0.05513639001741155,0.054994954591321976
Expedited1&192,Expedited,1,192,11.33,11.39,12.16,13.28,14.86,16.73,19.1,22.06,,Expedited1&192,Expedited,1,192,10.74,10.8,11.53,12.59,14.09,15.86,18.1,20.91,,0.05493482309124764,0.054629629629629584,0.05464006938421506,0.05480540111199361,0.05464868701206527,0.054854981084489385,0.05524861878453047,0.05499760879961735
Expedited1&208,Expedited,1,208,11.84,11.92,12.68,13.86,15.52,17.51,20.01,23.22,,Expedited1&208,Expedited,1,208,11.22,11.3,12.02,13.14,14.71,16.6,18.97,22.01,,0.05525846702317283,0.05486725663716796,0.05490848585690511,0.0547945205479452,0.055064581917063204,0.054819277108433706,0.054823405376910994,0.05497501135847327
Expedited1&224,Expedited,1,224,12.28,12.4,13.15,14.39,16.17,18.31,20.95,24.38,,Expedited1&224,Expedited,1,224,11.64,11.75,12.46,13.64,15.33,17.36,19.86,23.11,,0.05498281786941561,0.05531914893617018,0.05537720706260019,0.05498533724340171,0.0547945205479452,0.054723502304147464,0.054884189325276944,0.054954565123323196
Expedited1&240,Expedited,1,240,12.65,12.78,13.56,14.86,16.83,19.11,21.87,25.52,,Expedited1&240,Expedited,1,240,11.99,12.11,12.85,14.09,15.95,18.11,20.73,24.19,,0.05504587155963314,0.05532617671345985,0.05525291828793777,0.05464868701206527,0.055172413793103336,0.055218111540585424,0.05499276410998566,0.054981397271599786
Expedited1&256,Expedited,1,256,12.94,13.09,13.9,15.28,17.46,19.88,22.76,26.63,,Expedited1&256,Expedited,1,256,12.27,12.41,13.18,14.48,16.55,18.84,21.57,25.24,,0.0546047269763652,0.0547945205479452,0.054628224582701,0.055248618784530246,0.054984894259818784,0.05520169851380041,0.05516921650440443,0.05507131537242471
Expedited1&272,Expedited,1,272,13.23,13.4,14.26,15.7,17.92,20.4,23.41,27.47,,Expedited1&272,Expedited,1,272,12.54,12.7,13.52,14.88,16.99,19.34,22.19,26.04,,0.055023923444976086,0.0551181102362206,0.054733727810651,0.05510752688172027,0.054738081224249724,0.05480868665977234,0.05497972059486256,0.05491551459293387
Expedited1&288,Expedited,1,288,13.57,13.75,14.64,16.13,18.44,21.02,24.15,28.41,,Expedited1&288,Expedited,1,288,12.86,13.03,13.88,15.29,17.48,19.92,22.89,26.93,,0.05520995334370138,0.05525709900230247,0.05475504322766578,0.054937867887508096,0.05491990846681927,0.055220883534136345,0.05504587155963292,0.054957296695135494
Expedited1&304,Expedited,1,304,13.88,14.09,15.01,16.55,18.95,21.62,24.87,29.32,,Expedited1&304,Expedited,1,304,13.16,13.36,14.23,15.69,17.96,20.49,23.57,27.79,,0.054711246200607855,0.054640718562874335,0.05481377371749829,0.05481198215423855,0.05512249443207118,0.055148853099072914,0.055154857870173934,0.05505577545879814
Expedited1&320,Expedited,1,320,14.5,14.9,15.95,17.12,20.01,23.32,27.46,31.72,,Expedited1&320,Expedited,1,320,13.45,13.67,14.57,16.08,18.43,21.05,24.23,28.62,,0.0780669144981414,0.08997805413313831,0.09471516815374059,0.06467661691542315,0.0857297883884971,0.1078384798099763,0.13330581923235663,0.10831586303284402
Expedited1&336,Expedited,1,336,15.4,16.29,17.23,18.17,21.73,26.3,31.56,35.76,,Expedited1&336,Expedited,1,336,14.8,15.91,16.86,17.67,21.56,25.79,31.31,35.17,,0.04054054054054057,0.023884349465744803,0.021945432977461543,0.028296547821165863,0.007884972170686622,0.01977510663047699,0.007984669434685454,0.01677566107477957
Expedited1&352,Expedited,1,352,16.54,17.71,18.84,20.06,24.51,30.5,36.86,41.37,,Expedited1&352,Expedited,1,352,15.9,17.09,18.29,19.7,24.26,29.79,36.01,40.44,,0.040251572327044016,0.03627852545348165,0.030071077091306853,0.018274111675126825,0.010305028854080689,0.023833501174890914,0.02360455429047481,0.022997032640949655
